,open,high,low,close,volume
2000-08-11,34.75,36.0,34.75,35.125,4788800
2000-08-14,35.125,35.25,34.5625,35.1875,3538600
2000-08-15,35.25,36.1875,34.9375,35.375,3246300
2000-08-16,35.0625,35.25,34.0,34.0,3286700
2000-08-17,34.5,35.25,34.0625,34.3125,5405800
2000-08-18,35.75,35.75,35.125,35.4375,3502300
2000-08-21,36.375,37.0,36.0625,37.0,3825500
2000-08-22,37.375,39.5625,37.1875,38.625,7058400
2000-08-23,38.625,38.875,37.875,38.125,4163000
2000-08-24,38.25,40.0,36.5625,40.0,6512800
2000-08-25,40.125,40.875,39.625,39.875,5613700
2000-08-28,40.0,40.3125,39.0,39.0,3558900
2000-08-29,38.5,38.875,38.0,38.375,3498700
2000-08-30,38.5,40.3125,38.5,39.5,4156000
2000-08-31,39.5,39.9375,38.5625,38.875,3893900
2000-09-01,38.875,39.625,38.875,39.4375,2527800
2000-09-05,39.5,40.1875,39.125,39.75,2783600
2000-09-06,40.125,41.75,40.0625,40.875,4459800
2000-09-07,40.25,40.25,38.25,38.25,6434100
2000-09-08,37.0,37.375,35.0,35.0,7852600
2000-09-11,36.5,37.4375,36.375,36.5625,3582900
2000-09-12,36.5625,37.0,35.75,37.0,4478400
2000-09-13,37.0,38.4375,36.875,37.5,5142800
2000-09-14,37.5,38.1875,37.3125,37.5625,3647300
2000-09-15,37.625,37.875,36.375,36.5,3917100
2000-09-18,36.625,37.0,35.5,35.75,3223300
2000-09-19,35.25,36.0,34.25,36.0,3905100
2000-09-20,35.25,35.75,34.5625,35.0,2695200
2000-09-21,35.5,36.125,35.4375,35.5,2555700
2000-09-22,35.6875,36.4375,35.375,36.3125,1839400
2000-09-25,36.3125,36.625,35.0625,35.5625,2252100
2000-09-26,35.5,36.0625,35.125,35.9375,1804200
2000-09-27,35.875,36.0625,34.5625,34.875,2845000
2000-09-28,34.9375,36.625,34.8125,36.4375,2901400
2000-09-29,36.375,36.875,35.375,35.625,2330000
2000-10-02,36.0,36.4375,35.25,36.0,2969100
2000-10-03,35.875,37.75,35.6875,37.1875,4032000
2000-10-04,37.0625,39.0625,37.0625,37.875,3413700
2000-10-05,38.125,38.1875,36.5625,36.625,3236400
2000-10-06,37.125,37.625,36.1875,36.5,2442300
2000-10-09,36.875,37.0,36.125,36.9375,1557400
2000-10-10,36.9375,37.1875,36.4375,36.4375,2334600
2000-10-11,36.5,37.5,36.0,36.0625,3466600
2000-10-12,36.0,36.1875,34.5,35.0,3432600
2000-10-13,34.625,35.25,34.25,34.625,3524300
2000-10-16,35.4375,36.0,34.875,35.8125,4293700
2000-10-17,35.25,35.5,34.6875,35.25,4775800
2000-10-18,34.0,34.875,33.375,33.6875,3621800
2000-10-19,33.8125,36.75,33.8125,35.875,9199100
2000-10-20,41.0,47.75,39.5,46.0,27752100
2000-10-23,50.0,51.0,48.875,49.9375,48068800
2000-10-24,50.25,53.3125,49.875,53.3125,26039700
2000-10-25,52.5,53.5,51.75,52.25,17512100
2000-10-26,52.0,52.8125,50.875,52.1875,8464800
2000-10-27,52.1875,52.875,51.0625,51.5,9380100
2000-10-30,51.5,53.75,51.5,53.75,8847100
2000-10-31,53.0625,54.125,53.0625,53.8125,6501200
2000-11-01,52.875,54.0625,52.875,53.5,7060600
2000-11-02,53.125,53.5,52.125,52.125,7748400
2000-11-03,52.25,52.75,51.3125,51.625,9552400
2000-11-06,51.75,53.25,51.75,52.875,8999300
2000-11-07,52.625,54.3125,52.625,54.25,5503800
2000-11-08,54.125,54.5,53.0,53.5,6002600
2000-11-09,53.0,54.375,52.8125,53.6875,7624100
2000-11-10,53.25,53.875,52.625,53.375,5553500
2000-11-13,51.0,51.5,49.8125,50.625,7327100
2000-11-14,50.375,52.25,50.3125,51.875,6568800
2000-11-15,51.25,52.1875,50.875,51.625,5919100
2000-11-16,51.0,52.0625,51.0,51.5,5293000
2000-11-17,51.625,52.375,50.4375,51.0,3832700
2000-11-20,50.75,51.25,49.25,49.25,3979500
2000-11-21,49.4375,50.5625,49.4375,49.875,4517300
2000-11-22,48.5,48.875,47.8125,48.25,5844300
2000-11-24,48.625,49.1875,48.5,48.625,1378700
2000-11-27,49.5,50.0,48.1875,48.625,3267500
2000-11-28,48.5,49.4375,48.0625,49.125,4237700
2000-11-29,48.625,50.1875,48.3125,48.3125,5014400
2000-11-30,47.75,49.125,47.0,48.75,5307300
2000-12-01,49.625,50.4375,49.375,49.9375,4757800
2000-12-04,49.875,51.0,49.8125,50.625,3976900
2000-12-05,50.8125,53.5625,50.625,52.9375,5847200
2000-12-06,52.625,53.125,51.8125,52.9375,5406600
2000-12-07,52.5,53.1875,52.4375,52.625,5391600
2000-12-08,53.375,54.9375,53.375,54.5,4700000
2000-12-11,54.3125,55.6875,53.625,55.1875,4392800
2000-12-12,53.875,54.0,51.5,52.125,6494000
2000-12-13,52.625,52.75,51.75,52.125,5152000
2000-12-14,51.25,51.625,50.4375,50.5625,6371200
2000-12-15,49.875,50.0,47.875,47.875,7301100
2000-12-18,48.875,50.4375,48.875,49.75,5217800
2000-12-19,49.9375,50.29688,48.8125,48.875,6021700
2000-12-20,48.0,48.25,46.0,46.0,5317700
2000-12-21,46.4375,47.375,46.125,46.3125,3853100
2000-12-22,46.5625,48.3125,46.5625,47.75,2589300
2000-12-26,47.375,48.1875,46.8125,48.0,3528700
2000-12-27,47.625,48.6875,47.3125,47.5625,2436700
2000-12-28,47.875,48.3125,47.1875,47.9375,2618800
2000-12-29,47.75,48.25,47.125,47.3125,2126000
2001-01-02,46.5,46.5,42.4375,44.25,9949000
2001-01-03,44.25,48.125,43.5,48.125,8868000
2001-01-04,47.5,48.8125,47.375,48.0625,3651600
2001-01-05,47.4375,47.625,46.0625,46.9375,4208200
2001-01-08,46.0,46.625,44.5625,45.6875,3562500
2001-01-09,45.6875,46.4375,44.125,44.6875,5533200
2001-01-10,44.0625,45.5,43.4375,45.1875,6354400
2001-01-11,45.875,47.6875,45.875,47.375,4945600
2001-01-12,47.375,47.625,45.5,46.5,4046200
2001-01-16,46.25,48.1875,46.25,47.875,4420000
2001-01-17,48.6875,49.28125,47.625,48.0,9644900
2001-01-18,48.5,49.4375,47.625,48.875,4466500
2001-01-19,49.125,49.375,47.6875,48.375,4205700
2001-01-22,48.125,48.60938,46.6875,47.0625,3782200
2001-01-23,47.625,48.25,47.32813,47.875,4306000
2001-01-24,47.875,48.375,46.9375,47.375,2534800
2001-01-25,47.25,48.5,47.125,47.3125,5136300
2001-01-26,47.4375,48.125,46.0,46.4375,5793200
2001-01-29,46.35,46.7,45.26,45.8,3114900
2001-01-30,45.8,47.5,45.8,47.37,4511100
2001-01-31,47.37,48.19,46.9,47.25,4531000
2001-02-01,47.65,48.2,47.21,47.74,2603100
2001-02-02,47.55,48.25,47.28,47.7,3479500
2001-02-05,47.7,49.62,47.65,49.42,3520700
2001-02-06,49.25,49.7,48.77,49.25,2825300
2001-02-07,49.0,49.35,48.1,48.55,2211200
2001-02-08,48.99,49.7,48.5,48.78,2573300
2001-02-09,48.53,48.65,46.8,47.2,4790400
2001-02-12,47.5,49.45,47.37,49.06,2933000
2001-02-13,48.87,49.64,48.69,48.7,2660700
2001-02-14,48.6,48.69,47.6,47.67,2541200
2001-02-15,47.55,49.49,47.5,48.5,4518300
2001-02-16,47.92,48.8,47.7,48.21,2824000
2001-02-20,48.21,49.84,48.21,49.2,2969500
2001-02-21,49.5,49.94,48.51,48.67,3513500
2001-02-22,48.9,48.9,47.1,48.2,6143500
2001-02-23,47.6,48.0,45.95,47.0,5185000
2001-02-26,47.4,48.84,47.03,48.68,6717800
2001-02-27,46.5,48.15,46.5,48.15,9503200
2001-02-28,48.08,48.24,45.75,46.73,9645800
2001-03-01,45.75,46.1,45.0,46.05,5193300
2001-03-02,45.7,45.8,44.54,44.79,3793600
2001-03-05,44.75,45.74,44.7,45.65,3841400
2001-03-06,46.5,47.13,46.06,46.25,4173600
2001-03-07,46.4,46.83,46.09,46.48,2735500
2001-03-08,46.55,46.85,45.51,46.33,4486200
2001-03-09,45.51,45.7,43.58,43.98,5366100
2001-03-12,43.8,43.8,38.6,40.4,8869700
2001-03-13,41.5,42.4,40.75,42.23,7347500
2001-03-14,40.5,41.97,40.0,40.65,7580900
2001-03-15,40.95,41.14,40.28,40.51,5012300
2001-03-16,40.06,41.0,39.5,39.5,9680600
2001-03-19,39.75,40.95,39.32,40.55,4994800
2001-03-20,40.65,41.45,39.1,39.45,4264300
2001-03-21,39.1,39.84,37.75,37.77,4239500
2001-03-22,37.0,37.25,34.85,35.93,11262700
2001-03-23,36.75,38.53,36.46,37.95,7004600
2001-03-26,39.6,40.63,38.7,39.3,5637700
2001-03-27,39.5,41.5,39.41,41.39,4301100
2001-03-28,40.3,40.7,39.87,40.6,5104300
2001-03-29,40.35,40.6,39.65,40.45,2124500
2001-03-30,40.7,41.15,40.0,40.8,5006100
2001-04-02,40.45,41.75,39.6,40.48,3107700
2001-04-03,40.05,40.28,37.85,38.25,4686200
2001-04-04,38.0,39.9,37.46,38.19,5350400
2001-04-05,39.35,40.71,39.3,40.65,7598400
2001-04-06,39.85,40.2,38.65,39.5,9734200
2001-04-09,39.6,40.7,38.7,39.6,5320900
2001-04-10,40.45,43.38,40.4,42.34,8495500
2001-04-11,43.0,43.24,41.11,41.6,5027200
2001-04-12,41.85,43.45,41.6,43.45,4434600
2001-04-16,42.75,43.25,42.2,43.25,4309400
2001-04-17,42.3,44.5,42.3,44.35,4388000
2001-04-18,45.04,47.5,44.65,47.0,7200700
2001-04-19,46.25,47.7,46.25,47.6,3001800
2001-04-20,46.8,47.95,46.6,47.22,5449700
2001-04-23,47.12,47.12,45.5,46.43,2498400
2001-04-24,46.29,46.98,45.2,45.39,2233600
2001-04-25,46.1,48.2,45.96,47.51,3456700
2001-04-26,48.45,49.28,48.12,49.19,3047300
2001-04-27,49.3,49.95,48.51,49.95,3015100
2001-04-30,49.5,49.95,47.9,48.88,2382800
2001-05-01,48.0,48.99,47.74,48.95,2534100
2001-05-02,48.9,49.5,48.1,49.05,3501800
2001-05-03,49.15,49.65,48.1,48.4,8417700
2001-05-04,47.5,50.0,47.28,49.81,3480300
2001-05-07,49.6,50.03,49.3,49.9,3928500
2001-05-08,48.9,49.66,48.37,49.26,3379900
2001-05-09,48.6,50.17,48.42,49.5,5716700
2001-05-10,50.0,50.05,49.2,49.74,1907200
2001-05-11,49.8,49.8,48.5,49.5,2298800
2001-05-14,49.0,50.0,48.81,49.9,2039400
2001-05-15,49.7,50.41,49.43,50.31,4389600
2001-05-16,49.52,52.18,49.5,52.1,6350300
2001-05-17,51.7,52.82,51.67,52.5,3831500
2001-05-18,52.75,53.6,52.2,53.25,4623300
2001-05-21,52.9,53.9,52.65,53.5,2864700
2001-05-22,53.25,53.53,52.2,52.94,2589700
2001-05-23,52.6,52.93,51.2,51.61,3502600
2001-05-24,51.61,52.15,50.89,51.5,2892400
2001-05-25,51.0,51.24,49.8,50.2,2701100
2001-05-29,50.35,50.6,49.3,49.54,6423900
2001-05-30,49.4,49.73,48.55,48.63,2842700
2001-05-31,48.9,49.01,48.3,48.4,3466400
2001-06-01,48.3,48.69,47.4,48.37,2754100
2001-06-04,48.62,49.0,48.25,48.74,3787000
2001-06-05,48.5,48.95,48.0,48.84,3807000
2001-06-06,48.7,49.17,48.3,48.84,5788600
2001-06-07,48.55,49.07,48.11,48.75,2769900
2001-06-08,48.1,48.11,45.2,46.51,10354500
2001-06-11,46.75,47.77,45.05,45.25,11365200
2001-06-12,44.0,44.0,41.56,43.47,26877200
2001-06-13,45.0,46.0,41.55,42.26,27013700
2001-06-14,36.35,41.23,36.0,37.1,86215600
2001-06-15,37.4,38.8,35.5,38.7,28101200
2001-06-18,38.3,40.1,37.97,40.0,18436400
2001-06-19,38.8,39.2,36.7,38.5,19481200
2001-06-20,37.06,37.85,36.75,37.04,16827000
2001-06-21,37.4,37.4,36.35,36.75,14038100
2001-06-22,37.15,37.15,36.17,36.6,9981200
2001-06-25,36.5,37.7,35.06,35.6,19479300
2001-06-26,34.9,37.4,34.45,36.2,17151800
2001-06-27,36.21,38.1,35.25,37.0,16861200
2001-06-28,40.6,40.6,37.5,38.2,22863000
2001-06-29,38.3,38.3,33.0,34.9,51839500
2001-07-02,34.4,34.75,33.88,34.11,16703200
2001-07-03,35.4,35.75,34.8,35.1,16615600
2001-07-05,35.0,36.64,34.85,36.5,17349100
2001-07-06,36.3,36.3,34.92,35.19,14841000
2001-07-09,35.0,35.15,34.45,34.68,8432600
2001-07-10,34.99,35.05,34.33,34.4,10480900
2001-07-11,34.6,36.0,34.43,35.5,8740800
2001-07-12,35.5,36.5,35.5,36.11,6128900
2001-07-13,36.4,36.5,35.98,36.5,4574900
2001-07-16,36.5,36.59,35.95,36.09,3751900
2001-07-17,36.0,36.05,35.0,35.9,5631600
2001-07-18,35.75,36.9,35.6,36.5,6238000
2001-07-19,36.6,37.0,36.15,36.56,3894700
2001-07-20,36.4,37.0,36.4,36.9,6735000
2001-07-23,36.85,37.09,36.13,36.17,5877800
2001-07-24,36.75,37.1,35.98,36.21,7353500
2001-07-25,36.25,37.28,36.03,36.8,3745500
2001-07-26,37.0,37.19,36.71,37.0,5851000
2001-07-27,37.0,37.45,36.61,37.37,3685600
2001-07-30,37.48,37.7,36.93,37.19,2506000
2001-07-31,37.7,37.7,36.77,36.87,3328700
2001-08-01,37.15,37.55,36.71,36.72,3964000
2001-08-02,36.99,37.18,36.36,36.85,3700800
2001-08-03,37.0,37.04,36.55,36.8,2279400
2001-08-06,36.98,37.09,36.42,36.52,2429200
2001-08-07,36.9,36.9,36.54,36.54,3549400
2001-08-08,36.73,36.75,35.86,36.3,2398400
2001-08-09,36.44,36.48,35.8,36.08,2110700
2001-08-10,36.07,36.5,35.35,36.5,2069600
2001-08-13,36.55,36.55,35.86,36.19,1669300
2001-08-14,36.44,36.74,36.21,36.68,2279800
2001-08-15,37.02,37.4,36.9,37.32,4576500
2001-08-16,37.15,37.71,36.81,37.5,3186400
2001-08-17,37.5,37.74,36.75,36.95,3957600
2001-08-20,37.2,38.1,37.02,38.1,3674500
2001-08-21,38.1,38.49,37.02,37.25,3757400
2001-08-22,37.5,37.85,37.1,37.5,3336500
2001-08-23,38.05,38.05,37.6,37.92,1551900
2001-08-24,38.47,39.08,38.25,38.95,3594700
2001-08-27,38.7,39.03,38.54,38.95,1995200
2001-08-28,39.0,39.0,37.25,37.51,2272600
2001-08-29,38.0,38.05,37.0,37.01,3102800
2001-08-30,37.01,37.35,36.35,36.88,3408600
2001-08-31,37.35,37.7,36.93,37.26,2269200
2001-09-04,37.26,38.25,36.88,36.95,3092900
2001-09-05,36.97,37.7,36.5,37.39,1771700
2001-09-06,37.05,37.45,36.72,36.9,2720800
2001-09-07,36.9,37.02,35.72,35.75,3512200
2001-09-10,35.76,36.12,35.52,35.7,5206600
2001-09-17,31.29,32.31,28.58,29.5,17930600
2001-09-18,28.1,29.5,27.7,28.51,11387700
2001-09-19,28.15,28.31,25.5,26.58,10642700
2001-09-20,26.0,26.0,23.45,23.59,10514700
2001-09-21,22.15,24.95,22.15,24.8,15099400
2001-09-24,25.3,28.1,25.3,27.84,9121200
2001-09-25,27.84,28.25,26.15,28.25,7447000
2001-09-26,28.0,28.0,25.55,26.0,5677900
2001-09-27,26.12,26.38,24.8,25.05,4948200
2001-09-28,25.6,26.82,25.6,26.4,7778800
2001-10-01,26.95,26.95,25.75,26.1,4017300
2001-10-02,26.1,26.25,25.32,25.65,5006200
2001-10-03,25.75,27.7,25.5,26.95,4945600
2001-10-04,27.25,27.95,26.9,27.21,4274200
2001-10-05,27.35,28.13,26.65,27.81,3015000
2001-10-08,27.46,28.9,27.25,28.53,3089100
2001-10-09,28.5,28.65,27.59,28.44,3058400
2001-10-10,28.05,29.1,27.86,28.8,3242000
2001-10-11,28.8,29.48,28.36,29.35,4569100
2001-10-12,28.9,29.46,28.48,29.14,2756300
2001-10-15,29.22,29.4,27.75,28.3,2789400
2001-10-16,28.55,28.97,28.04,28.35,3013400
2001-10-17,28.35,28.57,27.65,27.7,3215100
2001-10-18,27.9,27.9,27.3,27.62,1423800
2001-10-19,28.0,28.0,27.02,27.3,3072900
